,ACCOUNT,SITE_ADDR_1_2019,SITE_ADDR_3_2019
318,102550020026,3006 EASTSIDE ST,77098
319,102550020027,3010 EASTSIDE ST,77098
320,102550020028,3000 EASTSIDE ST,77098
321,102550020029,3004 EASTSIDE ST,77098
322,102550020030,3030 EASTSIDE ST,77098
323,102550020031,3040 EASTSIDE ST,77098
324,102550020032,3020 EASTSIDE ST,77098
325,102640170001,3203 BAMMEL LN,77098
326,102640170003,3211 BAMMEL LN,77098
327,102640170005,3219 BAMMEL LN,77098
328,102640170006,3303 BAMMEL LN,77098
329,102640170007,3307 BAMMEL LN,77098
330,102640170008,3311 BAMMEL LN,77098
331,102640170009,3315 BAMMEL LN,77098
332,102640170012,3314 SACKETT ST,77098
333,102640170013,3310 SACKETT ST,77098
334,102640170014,3306 SACKETT ST,77098
335,102640170015,3302 SACKETT ST,77098
336,102640170016,3218 SACKETT ST,77098
337,102640170017,3214 SACKETT ST,77098
338,102640170018,3210 SACKETT ST,77098
339,102640170019,3206 SACKETT ST,77098
340,102640170020,3202 SACKETT ST,77098
341,102640170021,3207 BAMMEL LN,77098
342,102640190013,2825 SACKETT ST,77098
343,102640190019,2955 SACKETT ST,77098
344,102640190022,2831 SACKETT ST,77098
345,102640190023,2827 SACKETT ST,77098
346,102640190024,2833 SACKETT ST,77098
347,102640190026,2823 SACKETT ST,77098
348,102640190027,2829 SACKETT ST,77098
349,102640190029,2919 SACKETT ST,77098
350,102640190030,2923 SACKETT ST,77098
351,102640190031,2927 SACKETT ST,77098
352,102640190032,2931 SACKETT ST,77098
353,102640190033,2935 SACKETT ST,77098
354,102640190034,2939 SACKETT ST,77098
355,102640190035,2943 SACKETT ST,77098
356,102640190036,2951 SACKETT ST,77098
357,102640190037,2947 SACKETT ST,77098
358,102640200006,3073 SACKETT ST,77098
359,102640200013,3203 SACKETT ST,77098
360,102640200014,3207 SACKETT ST,77098
361,102640200015,3211 SACKETT ST,77098
362,102640200016,3215 SACKETT ST,77098
363,102640200017,3219 SACKETT ST,77098
364,102640200018,3303 SACKETT ST,77098
365,102640200019,3307 SACKETT ST,77098
366,102640200020,3311 SACKETT ST,77098
367,102640200021,3315 SACKETT ST,77098
368,102640200024,3077 SACKETT ST,77098
369,121150000032,2332 SUL ROSS ST 1,77098
370,121150020001,2333 STEEL ST,77098
371,121150020002,2331 STEEL ST,77098
372,121150020003,2329 STEEL ST,77098
373,121150020004,2327 STEEL ST,77098
374,121150020005,2325 STEEL ST,77098
375,121150020006,2323 STEEL ST,77098
376,121150020007,2321 STEEL ST,77098
377,121150020008,2319 STEEL ST,77098
378,121150020009,2317 STEEL ST,77098
379,121150020010,2315 STEEL ST,77098
380,121150020011,2313 STEEL ST,77098
381,121150020012,2311 STEEL ST,77098
382,121150030001,2310 STEEL ST 13,77098
383,121150030002,2312 STEEL ST 14,77098
384,121150030003,2314 STEEL ST 15,77098
385,121150030004,2316 STEEL ST 16,77098
386,121150030005,2318 STEEL ST 17,77098
387,121150030006,2320 STEEL ST 18,77098
388,121150030007,2322 STEEL ST 19,77098
389,121150030008,2324 STEEL ST 20,77098
390,121150030009,2326 STEEL ST,77098
391,121150030010,2328 STEEL ST,77098
392,121150030011,2330 STEEL ST 23,77098
393,121150030012,2332 STEEL ST 24,77098
394,121160000001,2315 WELCH ST,77019
395,121160000011,2313 WELCH ST,77019
396,121160000012,2303 WELCH ST,77019
397,121160000013,2301 WELCH ST,77019
398,121160000014,2311 WELCH ST,77019
399,121160000016,2307 WELCH ST,77019
400,121380030001,2301 SUL ROSS ST,77098
401,121380030003,2309 SUL ROSS ST,77098
402,121380030004,2317 SUL ROSS ST,77098
403,121380030005,2321 SUL ROSS ST,77098
404,121380030012,2312 BRANARD ST,77098
405,121380040002,2307 BRANARD ST,77098
406,121380040006,2323 BRANARD ST,77098
407,121380050002,2409 BRANARD ST,77098
408,121380050003,2415 BRANARD ST,77098
409,121380050004,2419 BRANARD ST,77098
410,121380050006,2411 BRANARD ST,77098
411,121380050007,2417 BRANARD ST,77098
412,121380050008,2421 BRANARD ST,77098
413,121380060003,2501 BRANARD ST,77098
414,132200000003,2704 BALDWIN ST,77006
415,132200000009,212 DENNIS ST,77006
416,132220000005,301 DREW ST,77006
417,132220000006,2711 BALDWIN ST,77006
418,132220000007,302 DENNIS ST,77006
419,132220000009,308 DENNIS ST,77006
420,132220000010,305 DREW ST,77006
421,132220000015,307 DREW ST,77006
422,132220000016,2715 BALDWIN ST,77006
423,132220000017,2717 BALDWIN ST,77006
424,132220000018,303 DREW ST,77006
425,132220000019,310 DENNIS ST,77006
426,132220000020,309 DREW ST,77006
427,132220000021,2718 BAGBY ST,77006
428,132220000022,2716 BAGBY ST,77006
429,132230000007,306 DREW ST,77006
430,132230000009,310 DREW ST,77006
431,132230000011,300 DREW ST,77006
432,132240000007,2909 BALDWIN ST,77006
433,132250000003,3004 BAGBY ST,77006
434,132270000007,402 ROSALIE ST,77006
435,132300000015,410 DREW ST,77006
436,132320010001,421 DENNIS ST,77006
437,132320010002,419 DENNIS ST,77006
438,132320010003,417 DENNIS ST,77006
439,132390000006,3007 BRAZOS ST,77006
440,132390000008,504 ANITA ST,77006
441,132390000011,506 ANITA ST,77006
442,132390000012,502 ANITA ST,77006
443,132500000002,2710 LOUISIANA ST,77006
444,132680000001,2421 MILAM ST,77006
445,140030000007,202 DREW ST,77006
446,140060000001,2916 ALBANY ST,77006
447,140060000003,2409 GENESEE ST,77006
448,140060000004,90 TUAM ST,77006
449,140060000010,2405 GENESEE ST,77006
450,140060000014,2912 ALBANY ST,77006
451,140060000015,2910 ALBANY ST,77006
452,140060000016,2908 ALBANY ST,77006
453,140100000014,2911 HELENA ST,77006
454,140100000020,2915 HELENA ST,77006
455,140100000021,2919 HELENA ST,77006
456,140100000022,2921 HELENA ST,77006
457,140100000023,2917 HELENA ST,77006
458,140100000024,2923 HELENA ST,77006
459,140110000007,15 HYDE PARK BLVD,77006
460,140120000003,2912 HELENA ST,77006
461,140120000011,118 TUAM ST,77006
462,140120000014,2913 ALBANY ST,77006
463,140120000016,2909 ALBANY ST,77006
464,140120000017,2911 ALBANY ST,77006
467,140150000007,1805 TAFT ST,77019
468,140180000009,1909 TAFT ST,77006
469,140180000010,1907 TAFT ST,77006
470,140190000001,2002 MASON ST,77006
471,140190000006,2009 TAFT ST,77006
472,140190000007,2007 TAFT ST,77006
473,140210000001,109 WELCH ST,77006
474,140230000007,209 W DREW ST,77006
475,140230000010,213 W DREW ST,77006
476,140230000011,217 W DREW ST,77006
477,140230000012,221 W DREW ST,77006
478,140240000002,2208 GENESEE ST,77006
