,address,zip_code
363,1210 CALIFORNIA ST,77006
364,1210 HAWTHORNE ST,77006
365,1210 KIPLING ST,77006
366,1210 MIRAMAR ST,77006
367,1210 W DREW ST,77006
368,1210 WELCH ST,77006
369,1210 WILLARD ST,77006
370,1211 BOMAR ST,77006
371,1211 KIPLING ST,77006
372,1211 MARSHALL ST,77006
373,1211 PEDEN ST,77006
374,1211 W DREW ST,77006
375,1211 WELCH ST,77006
376,1211 WILLARD ST,77006
377,1212 BOMAR ST,77006
378,1212 BONNIE BRAE ST A,77006
379,1212 BONNIE BRAE ST B,77006
380,1212 BONNIE BRAE ST C,77006
381,1212 HAROLD ST,77006
382,1212 HYDE PARK BLVD,77006
383,1212 KIPLING ST,77006
384,1212 MIRAMAR ST,77006
385,1212 PEDEN ST,77006
386,1212 W ALABAMA ST,77006
387,1212 W DREW ST A,77006
388,1212 W DREW ST B,77006
389,1212 WILLARD ST,77006
390,1213 BERTHEA ST,77006
391,1213 BOMAR ST,77006
392,1213 BONNIE BRAE ST,77006
393,1213 MILFORD ST,77006
394,1213 W DREW ST,77006
395,1213 WILLARD ST,77006
396,1214 BERTHEA ST,77006
397,1214 BOMAR ST,77006
398,1214 BONNIE BRAE ST,77006
399,1214 KIPLING ST,77006
400,1214 MILFORD ST,77006
401,1214 MIRAMAR ST 1,77006
402,1214 W ALABAMA ST,77006
403,1214 W DREW ST,77006
404,1214 WELCH ST,77006
405,1214 WELCH ST UNIT B,77006
406,1214 WILLARD ST,77006
407,1215 BOMAR ST,77006
408,1215 BONNIE BRAE ST,77006
409,1215 HAROLD ST,77006
410,1215 JACKSON BLVD,77006
411,1215 KIPLING ST,77006
412,1215 MILFORD ST,77006
413,1215 MISSOURI ST 6,77006
414,1215 PEDEN ST,77006
415,1215 W DREW ST,77006
416,1215 WELCH ST,77006
417,1216 BOMAR ST,77006
418,1216 HYDE PARK BLVD,77006
419,1216 KIPLING ST,77006
420,1216 PEDEN ST A,77006
421,1216 PEDEN ST B,77006
422,1216 PEDEN ST C,77006
423,1216 W ALABAMA ST,77006
424,1216 W DREW ST,77006
425,1216 WELCH ST A,77006
426,1216 WELCH ST B,77006
427,1216 WELCH ST C,77006
428,1216 WILLARD ST,77006
429,1217 BOMAR ST,77006
430,1217 BONNIE BRAE ST,77006
431,1217 HAROLD ST,77006
432,1217 MILFORD ST,77006
433,1217 MISSOURI ST,77006
434,1217 W DREW ST A,77006
435,1217 W DREW ST B,77006
436,1217 WILLARD ST,77006
437,1218 BOMAR ST,77006
438,1218 KIPLING ST,77006
439,1218 MARSHALL ST,77006
440,1218 PEDEN ST,77006
441,1218 W DREW ST,77006
442,1218 WELCH ST,77006
443,1218 WILLARD ST,77006
444,1219 BOMAR ST,77006
445,1219 HAROLD ST,77006
446,1219 KIPLING ST,77006
447,1219 MIRAMAR ST,77006
448,1219 MISSOURI ST 4,77006
449,1219 PEDEN ST A,77006
450,1219 PEDEN ST B,77006
451,1219 PEDEN ST C,77006
452,1219 W DREW ST,77006
453,1219 WILLARD ST,77006
454,122 DREW ST,77006
455,122 OAK PL,77006
456,1220 BOMAR ST,77006
457,1220 HAROLD ST,77006
458,1220 HAWTHORNE ST,77006
459,1220 KIPLING ST,77006
460,1220 MILFORD ST,77006
461,1220 PEDEN ST,77006
462,1220 W DREW ST,77006
463,1220 WELCH ST,77006
464,1220 WELCH ST A,77006
465,1220 WILLARD ST,77006
466,1221 BOMAR ST,77006
467,1221 HAROLD ST,77006
468,1221 KIPLING ST,77006
469,1221 MISSOURI ST 3,77006
470,1221 PEDEN ST,77006
471,1221 W DREW ST,77006
472,1221 WILLARD ST,77006
473,1222 JACKSON BLVD,77006
474,1222 W DREW ST,77006
475,1223 BOMAR ST,77006
476,1223 JACKSON BLVD,77006
477,1223 MIRAMAR ST,77006
478,1223 PEDEN ST,77006
479,1223 W DREW ST,77006
480,1223 WELCH ST,77006
481,1224 JACKSON BLVD,77006
482,1224 PEDEN ST,77006
483,1224 W DREW ST,77006
484,1225 JACKSON BLVD,77006
485,1225 PEDEN ST,77006
486,1225 W DREW ST,77006
487,1225 WELCH ST,77006
488,1226 JACKSON BLVD,77006
489,1226 PEDEN ST,77006
490,1226 W DREW ST,77006
491,1226 W DREW ST A,77006
492,1226 WELCH ST,77006
493,1227 JACKSON BLVD,77006
494,1227 W DREW ST,77006
495,1227 WELCH ST,77006
496,1228 BOMAR ST,77006
497,1228 PEDEN ST,77006
498,1228 W DREW ST,77006
499,1229 JACKSON BLVD,77006
500,1229 W DREW ST,77006
501,1229 WELCH ST,77006
502,123 DENNIS ST,77006
503,123 OAK PL,77006
504,123 TUAM ST,77006
505,1230 JACKSON BLVD,77006
506,1230 W DREW ST,77006
507,1231 JACKSON BLVD,77006
508,1231 PEDEN ST,77006
509,1231 WELCH ST,77006
510,1232 JACKSON BLVD,77006
511,1232 PEDEN ST,77006
512,1233 WELCH ST,77006
513,1234 JACKSON BLVD,77006
514,1236 JACKSON BLVD,77006
515,1238 JACKSON BLVD,77006
516,1239 PEDEN ST,77006
517,124 DREW ST,77006
518,124 OAK PL,77006
519,1240 JACKSON BLVD,77006
520,1241 PEDEN ST,77006
521,1243 PEDEN ST,77006
522,1244 PEDEN ST,77006
523,1245 PEDEN ST,77006
524,125 DENNIS ST,77006
525,125 OAK PLACE DR,77006
526,1253 PEDEN ST,77006
527,126 DREW ST,77006
528,126 OAK PL,77006
529,127 DENNIS ST,77006
530,127 OAK PLACE DR,77006
531,127 TUAM ST,77006
532,128 DREW ST,77006
533,128 OAK PL,77006
534,129 DENNIS ST,77006
535,13 COURTLANDT PL,77006
536,130 OAK PL,77006
537,1300 BOMAR ST,77006
538,1300 CASTLE CT,77006
539,1300 HYDE PARK BLVD,77006
540,1300 NORTH BLVD,77006
541,1300 PEDEN AVE,77006
542,1300 VASSAR ST,77006
543,1301 BOMAR ST,77006
544,1301 HAROLD ST,77006
545,1301 HYDE PARK BLVD,77006
546,1301 KIPLING ST,77006
547,1301 MILFORD ST,77006
548,1301 PEDEN ST,77006
